height_to_cheek,cheek_to_jaw,forehead_to_cheek,jaw_to_forehead,height_to_jaw,height_to_forehead,chin_to_jaw,cheek_to_fj_mean,jaw_angle,label
1.216091,1.366463,0.542038,1.350120,1.661744,2.243553,0.421762,1.570038,143.443665,Oblong
1.313269,1.380521,0.494693,1.464271,1.812995,2.654716,0.419005,1.640612,143.567444,Oblong
1.209525,1.366139,0.528246,1.385699,1.652379,2.289701,0.409575,1.587004,142.166656,Oblong
1.304513,1.377209,0.522938,1.388511,1.796587,2.494581,0.427734,1.601224,144.485016,Oblong
1.263711,1.345994,0.511608,1.452177,1.700947,2.470077,0.427110,1.594192,141.376541,Oblong
1.220024,1.350177,0.510150,1.451817,1.647247,2.391501,0.403607,1.598985,140.084305,Oblong
1.290222,1.299369,0.495639,1.552753,1.676475,2.603151,0.417080,1.580724,137.715729,Oblong
1.273777,1.405043,0.550361,1.293190,1.789712,2.314438,0.421860,1.584681,146.416672,Oblong
1.290791,1.391815,0.528730,1.358891,1.796543,2.441307,0.417531,1.603572,141.343155,Oblong
1.235671,1.370053,0.534410,1.365803,1.692935,2.312216,0.427110,1.581892,142.404282,Oblong
1.240853,1.331484,0.498299,1.507212,1.652177,2.490180,0.417720,1.600845,136.427322,Oblong
1.280940,1.316826,0.533773,1.422707,1.686775,2.399786,0.436337,1.546582,139.193710,Oblong
1.277883,1.396575,0.530138,1.350661,1.784660,2.410471,0.420847,1.604910,142.632523,Oblong
1.187300,1.357797,0.496920,1.482104,1.612113,2.389320,0.410201,1.621525,141.337784,Oblong
1.304556,1.353400,0.502135,1.471477,1.765587,2.598021,0.423582,1.611585,138.207214,Oblong
1.307770,1.409063,0.530444,1.337919,1.842731,2.465424,0.426558,1.612727,141.960800,Oblong
1.208576,1.388146,0.538247,1.338392,1.677681,2.245395,0.422188,1.589027,144.118622,Oblong
1.287607,1.355237,0.490263,1.505066,1.745013,2.626359,0.422778,1.628477,139.592117,Oblong
1.256952,1.302182,0.467933,1.641137,1.636781,2.686181,0.399235,1.618287,131.454407,Oblong
1.284987,1.310816,0.507252,1.503954,1.684382,2.533232,0.420830,1.574635,142.313843,Oblong
1.256015,1.372853,0.502280,1.450208,1.724325,2.500630,0.437454,1.625105,141.311462,Oblong
1.197411,1.300213,0.515741,1.491260,1.556889,2.321726,0.406684,1.556607,134.376083,Oblong
1.257021,1.318714,0.506391,1.497489,1.657651,2.482316,0.434334,1.581396,134.853775,Oblong
1.218545,1.359550,0.527172,1.395252,1.656672,2.311475,0.411896,1.583895,135.138702,Oblong
1.206701,1.354411,0.499752,1.477389,1.634370,2.414599,0.405185,1.615404,138.852982,Oblong
1.248024,1.313492,0.505955,1.504737,1.639269,2.466669,0.435052,1.578178,141.744553,Oblong
1.236693,1.383298,0.545632,1.324904,1.710715,2.266532,0.418934,1.576613,145.097168,Oblong
1.289591,1.367180,0.504295,1.450405,1.763103,2.557214,0.414639,1.618479,138.337509,Oblong
1.221875,1.396360,0.529859,1.351583,1.706176,2.306038,0.418983,1.605128,143.880692,Oblong
1.296839,1.328174,0.510802,1.473984,1.722427,2.538830,0.412926,1.582635,137.583099,Oblong
1.158875,1.384004,0.558615,1.293451,1.603888,2.074550,0.419537,1.561090,146.562500,Oblong
1.282376,1.333565,0.486464,1.541471,1.710131,2.636117,0.422549,1.617686,141.527542,Oblong
1.283662,1.364208,0.522049,1.404132,1.751182,2.458890,0.420423,1.593529,142.079071,Oblong
1.292151,1.358018,0.511762,1.438887,1.754763,2.524906,0.421269,1.602398,139.332535,Oblong
1.228339,1.418157,0.567584,1.242354,1.741978,2.164153,0.430655,1.571432,146.001389,Oblong
1.301635,1.336773,0.497926,1.502371,1.739990,2.614111,0.415801,1.605141,139.954498,Oblong
1.244145,1.330006,0.501453,1.499396,1.654720,2.481082,0.405944,1.595750,138.305557,Oblong
1.242199,1.301550,0.486713,1.578578,1.616784,2.552221,0.423137,1.593590,135.081070,Oblong
1.241351,1.341716,0.515380,1.446145,1.665540,2.408613,0.430741,1.586428,141.026825,Oblong
1.190973,1.377076,0.539159,1.346868,1.640059,2.208944,0.424920,1.580608,144.959274,Oblong
1.296901,1.301581,0.475434,1.615989,1.688022,2.727825,0.436845,1.608065,134.683578,Oblong
1.223439,1.380620,0.505961,1.431558,1.689105,2.418052,0.422055,1.625656,140.599579,Oblong
1.304054,1.358923,0.493376,1.491514,1.772109,2.643125,0.414876,1.627005,142.850708,Oblong
1.272458,1.381718,0.508935,1.422061,1.758179,2.500238,0.411202,1.622493,137.526947,Oblong
1.241953,1.354989,0.504662,1.462391,1.682833,2.460959,0.424336,1.609430,141.720276,Oblong
1.208076,1.339543,0.502043,1.486970,1.618270,2.406319,0.422669,1.601838,141.593994,Oblong
1.244820,1.326418,0.523015,1.441470,1.651151,2.380085,0.422229,1.566262,139.248779,Oblong
1.256003,1.364057,0.501396,1.462131,1.713260,2.505011,0.410210,1.620084,136.818100,Oblong
1.223177,1.357553,0.546851,1.347022,1.660528,2.236767,0.428449,1.558276,143.724792,Oblong
1.271172,1.377904,0.547780,1.324876,1.751552,2.320590,0.426427,1.570451,145.219284,Oblong
1.223674,1.361526,0.535345,1.371955,1.666064,2.285765,0.419679,1.575032,139.753677,Oblong
1.249668,1.409423,0.537513,1.319986,1.761311,2.324907,0.422144,1.603819,147.939835,Oblong
1.267732,1.379436,0.528377,1.372002,1.748756,2.399297,0.420707,1.595774,143.489136,Oblong
1.245415,1.378755,0.510247,1.421453,1.717123,2.440810,0.413893,1.618727,140.469879,Oblong
